gad,1
support,1
recovery,1
racing,1
tension,1
klonopin,1
phobia,1
group,1
psychiatrist,1
tight,1
lexapro,1

Word frequencies for meditation_posts.json:
Word,Count
i,1032
to,552
and,550
the,527
it,369
my,360
a,346
of,319
that,218
in,217
is,186
you,157
meditation,154
for,150
this,149
was,138
t,136
with,135
but,133
me,123
not,122
have,110
like,109
on,100
just,99
what,95
or,94
s,93
do,93
be,92
feel,90
so,86
when,84
about,82
if,78
as,75
thoughts,71
can,71
am,71
m,70
been,67
more,66
your,66
there,65
time,63
ve,61
all,59
would,59
are,59
from,58

Anxiety-related word frequencies for meditation_posts.json:
Word,Count
meditation,154
anxiety,25
brain,23
mindfulness,18
fear,17
breathing,15
sleep,9
mental,8
depression,7
anxious,7
stress,6
chest,6
scared,4
ocd,4
trauma,4
health,3
medication,3
social,3
tired,3
group,3
heart,2
techniques,2
panic,2
addiction,2
stomach,2
dread,2
relaxation,2
worry,2
psychiatrist,1
doctor,1
dose,1
therapy,1
attack,1
nausea,1
phobia,1
symptoms,1
overwhelmed,1
irritable,1
support,1
terror,1
overthinking,1
recovery,1

Word frequencies for gaming_posts.json:
Word,Count
the,201
i,160
to,151
and,138
a,115
it,114
of,109
in,73
that,73
game,66
for,62
s,57
you,53
is,49
games,48
but,40
with,40
my,39
t,39
this,38
are,35
on,32
have,31
just,31
was,30
2,29
not,29
from,26
he,26
had,25
or,25
like,25
can,24
what,24
when,23
play,23
as,23
all,22
more,22
there,22
into,21
some,21
we,20
so,20
if,20
how,19
up,19
me,18
she,18
get,18

Anxiety-related word frequencies for gaming_posts.json:
Word,Count
support,3
sleep,2
tired,2
heart,1
fatigue,1
health,1
group,1

Word frequencies for surfing_posts.json:
Word,Count
the,239
i,222
a,213
to,190
and,156
for,117
in,103
it,93
of,74
on,70
s,66
is,58
but,56
my,56
with,54
that,49
m,47
from,46
are,43
have,42
if,41
you,40
just,39
t,38
surf,37
this,36
be,35
me,33
as,33
or,33
at,32
was,32
board,32
what,31
so,30
there,29
up,28
any,27
back,27
can,26
they,26
like,26
surfing,26
out,25
all,24
6,24
an,23
not,23
how,23
boards,23

Anxiety-related word frequencies for surfing_posts.json:
Word,Count
support,3
doctor,2
techniques,1
trigger,1

Word frequencies for gardening_posts.json:
Word,Count
i,182
the,164
and,143
a,115
to,109
it,101
my,85
of,81
is,77
in,72
this,63
that,46
s,42
for,42
but,39
are,35
garden,33
have,33
on,32
t,32
so,31
you,31
they,31
all,29
what,29
m,29
year,27
just,27
them,26
me,26
not,25
we,21
from,21
plants,21
there,21
at,20
out,19
do,19
how,19
as,19
ve,18
one,18
can,18
time,17
if,16
like,16
with,16
was,15
plant,15
or,15

Anxiety-related word frequencies for gardening_posts.json:
Word,Count
sleep,2
tight,1
ocd,1
brain,1

Word frequencies for programming_posts.json:
Word,Count
and,53
the,50
a,45
to,42
i,35
in,33
with,27
for,23
of,20
it,19
is,18
s,17
how,17
more,13
code,13
this,13
you,12
https,12
that,12
your,11
git,10
on,10
from,10
com,10
razen,9
github,8
my,8
open,8
all,8
net,8
kafka,8
python,7
quantum,7
post,7
what,7
explained,7
building,7
make,6
software,6
as,6
here,6
we,6
source,6
an,6
feedback,6
programming,6
like,6
work,6
language,6
event,6

Anxiety-related word frequencies for programming_posts.json:
Word,Count
support,2
hospital,1

